uniqueID,drugName,condition,review,rating,date,usefulCount
48008,Naproxen / sumatriptan,Migraine,"""I get horrible menstrual migraines. I&#039;ve tried medicines in the past. Some didn&#039;t work, some worked but gave me a rebound headache. Then I started trying natural remedies. Some help, but nothing has gotten rid of my migraines. I decided to give another medicine a try because I expected a migraine to come on a day I had an important event. My doctor gave me a sample of Treximet. My migraine started coming on DURING the event. I took one pill, and within 20 minutes I could feel the pain lessen. I&#039;d say within an hour it was completely gone. It&#039;s now been 2 days and I have not gotten a rebound headache. I also don&#039;t remember much of a side effect. I felt a little out of sorts for a bit, but that went away fairly quickly.""",10,27-Apr-09,11
135979,Acamprosate,Alcohol Dependence,"""A few comments regarding my and others&#039; experiences here. I have been on campral three times over the last 15 years so have a bit of experience here.

This is not a magic bullet. If you are not seeing a professional d and a counsellor for at least a year after detox you will set yourself up for relapse.

You will need to be on this for at least a year to allow your counselling and brain to kick into recovery. Don&#039;t fool yourself that once your cravings magically disappear that you are cured. It takes dedication to stay out of the trap and the middle aged coffin.

If you do relapse (read fool yourself that controlled drinking is possible for an alcoholic) keep taking the campral, double your counselling and pour the rest in the sink.""",8,4-Nov-16,21
113691,Arthrotec,Osteoarthritis,"""I was prescribed Arthrotec 75/0.2MG. I had spinal surgery on L5 in 2001 by an orthopedist and in 2009 on same disc by a neurosurgeon. In 2009, I took a long time to recover. Also, I am suffering from degenerative disc disease on S1 to the point of self fusion (a good thing as it stabilized my lower back). In 2009, I was prescribed  Arthrotec 75 / 0.2MG
I found this to be a miracle. I only take it as needed and only when it wears off. Once a week or as needed. FANTASTIC results! It takes years off my body. I am 62.""",10,3-Mar-13,97
11600,Pramipexole,Restless Legs Syndrome,"""This somewhat reduced my restless legs syndrome (which occurs every other day and is enough to keep me up at night and be bothersome); however, this gave me insomnia, specifically causing me trouble falling asleep and once I was finally able to fall asleep, I would wake up once every two hours or so.""",2,29-Feb-12,45
200855,Varenicline,Smoking Cessation,"""I gave this drug rating of 5 because I have seen it do well for many people. However, I went CRAZY after starting this medicine. I watched 4 people take this medicine and do very well and quit smoking. If it was not for a friend that I had not spoke to in weeks calling me I would have done even worse. When she contacted me I explained my symptoms of fatigue, depression, and even crazier things. She then told me the exact same thing happened to her on Chantix. I have quit smoking before. My advice: Try this medication but HAVE SOMEONE WATCH YOU FOR SIDE-EFFECTS.""",5,12-Mar-09,27
187249,Sodium oxybate,Narcolepsy,"""Xyrem actually worked! For the first time in my life, I felt like a normal person. Then, the migraines to beat all migraines began. I was awake but in so much pain and the only thing that helped at all was packing ice all around my head. I hoped the headaches would go away but, after a couple of weeks, I gave up. I didn&#039;t want to be awake with that much pain.""",7,1-Aug-10,34
6764,Beyaz,Birth Control,"""I started BeYaz because it was recommended by a new PA I&#039;m seeing.  SHe said it would help with the PMS symptoms I described.  I&#039;ve nearly completed the first pack and I am feeling completely out of control, depressed, even suicidal, and irritable and SO angry.  I DID NOT feel this way before, even at my worst PMS times.  I started my period about a week before I should have this month.  I don&#039;t know if I should continue using this pill or not.  It just dawned on me that it could be the BeYaz, and after reading the pamphlet and now these postings, I think the BeYaz may be why I&#039;ve been having these overwhelming symptoms.""",2,12-Jun-12,10
176053,Neo-Poly-Dex,3</span> users found this comment helpful.,"""This medication caused my eyes to swell, sacks like fluid under each one, dried my skin all around both eyes and caused redness. After 3 days my eyes started to itch. Returned to the doctor after 2 days and was told to use cold compresses and Benadryl for 5 days. It has been four days and the swelling and dry skin is still around the eyes.""",1,8-Aug-15,3
180757,Dienogest / estradiol,Birth Control,"""I was started on this pill over 2 and a half years ago. I had tried a lot of different BC pills and read about Natazia online and asked my obgyn if I could go on it. This has been THE best bc pill I&#039;ve been on! I rarely have periods if any and don&#039;t have any side effects.""",10,7-Sep-16,3
26789,Ulipristal,Emergency Contraception,"""I took EllaOne about an hour after having sex with my partner. The condom burst, it was an unfortunate accident. This happened 6 days before I was due my cycle, which is quite regular.
The only side effect I had endured was breast tenderness for a few days afterwards.  No spotting or bleeding. On the day I was due my period, I suffered abdominal pains which I wouldn&#039;t have associated with cycle pains. When my period didn&#039;t come, that is when I started frantic researching; reading forums can be very scary and stress you out even more. I had a tendency to latch onto negative experiences. I stressed myself out to the point of sickness. 
My period arrived 2 days late and I know that EllaOne did the job :) Every body is unique. Relax!""",10,14-Aug-17,9
111364,Ledipasvir / sofosbuvir,Hepatitis C,"""I am 68 years old and was told about 25 years ago that I had had Hep C. I had no side effects from the virus. I am active swimming and during Yoga. Went to John Hopkins because my Primary Doctor was concerned since my VL was 16,000,000. I was stage 3 Fibrosis of the liver.. I took Harvoni for four  weeks and the HCV is not detected. I will continue the med for 8 more weeks. This stuff works.""",10,8-Nov-15,66
90917,Norco,Back Pain,"""Works great for my pain.""",8,5-Apr-14,54
101452,Ciclesonide,Allergic Rhinitis,"""I was on a dose of 20 mg of prednisone daily and have been able to stop taking any oral steroids since I started Omnaris.  I have had no side effects.  It is wonderful. It helps my runny and stuffy nose symptoms. """,9,11-Aug-08,39
18848,Solifenacin,Overactive Bladde,"""Been having cold like symptoms. Running nose, sneezing, stomach pain, constipation, heart beating too fast. I&#039;ve been taken only 4 days but stopped today. Side effects are too much and they&#039;re making me miserable.""",2,14-Oct-15,26
220718,Loestrin 24 Fe,Menstrual Disorders,"""I&#039;ve been on this pill since summer 2007 (three years) for extreme menstrual cramps and bleeding (I spent roughly 16 hours passed out from pain for two days every month and bleed for 7-10 days straight. I used so many OTC pain killers that they all ceased to work for me).

My experiences with this pill:
-No weight gain noticed. Lost pre-pill weight by exercising.
-Little to no pain compared to before (1-2 pain pills for the worst two days for about every 3rd period)
-Little to no bleeding (I went from super heavy pads to the lightest pads on the market or just dark colored underwear on my heaviest days. Some months, I just don&#039;t bleed)
-No extra mood swings (and less mood swings during my period)
-Acne is the same (not better, not worse)""",10,24-Sep-10,13
113321,Bisacodyl,Constipation,"""I couldn&#039;t poo for days.. Then I took these pills at 8pm and went to bed at 11pm I then woke up at 1:30am with the worst tummy pain ever I got out of bed and had a little spew. Then I sat on the toilet it began coming out then  until 7pm that night. I have to say the pain was very bad but it was much better then being blocked up and my bowel motions not coming out. I would definitely take these again I feel much better now""",8,29-Sep-15,11
178615,Victoza,Weight Loss,"""I started Victoza exactly 4 weeks ago. I have felt nauseous from time to time but generally feel worse if I eat more than I needed. I can easily feel very full eating 700-800 calories a day. I haven&#039;t had any other side effects except that I have way more energy than before which is wonderful for someone who has fibromyalgia and is always tired!!  The inches are melting away and I&#039;m so happy to have lost 11.5lbs, it&#039;s amazing!  After unexplained weight gain of 77lbs over the course of a year this is just what I needed. 1 month in and 1/6 of the weight I need to lose has already gone - if you haven&#039;t already, give it a go.""",10,19-Apr-17,43
105876,Atomoxetine,ADHD,"""Started taking  60mg of this medicine for ADD &amp;  anxiety triggered my ADD. 
It took about a week to hit my system, while it helped somewhat with my ADD. It wasn&#039;t major. I was still forgetting things like crazy and was able to be side tract. 

It&#039;s been 13 days and I&#039;m stopping it today. 
It has made me an emotional WRECK!!!! I&#039;ve had CRAZY mood swings like seen in a damn horror movie.
Yesterday, I woke up happy then saw puppy shit on the floor and I LOST IT. 
I was a crying wreck. It was so bad I laid on my floor and screamed tears! I&#039;ve never been depressed insane. 
Couldn&#039;t find my shoes- crying screaming mess again. 
Left the laundry in the washer over night- another HUGE breakdown.""",1,20-May-17,16
60021,NuvaRing,Birth Control,"""Wonderful birth control. My fiance feels the Nuvaring but doesn&#039;t mind. No side effects and it doesn&#039;t affect my depression. It occasionally moves the wrong way but is easy enough to move back in to place. I don&#039;t have to remember to take it at any one time and only have to remember anything for it twice a month. Love it!""",10,8-Sep-13,5
161765,Remeron,Anxiety,"""I have a panic disorder and my doctor put me on the Remeron. I thought it was great at first. It caused my panic attacks to slow down and my anxiety to die down. Then the side effects started. I had an increased appetite and put on nearly 30lbs. I didn&#039;t mind that, but then it also began causing me to become very irritable. I started feeling like I was going into blind rages. I immediately contacted my doctor and switched medicines. Use caution.""",2,25-Oct-09,86
108121,Ethinyl estradiol / norelgestromin,Birth Control,"""This is my first birth control ever - after I had an abortion on July. Decided to take on the patch because it is easy and convenient and you don&#039;t have to remember to take everyday, just once a week and my change patch day is every Monday. On my patch-free week today, menses came. Tomorrow will be my second month wearing it and so far so good. Side effects are mainly headache and a big appetite however no weight gain, no breakouts and some spotting in between. Cons, will be lint adhere to the patch and it could be itchy for me once in a while.""",9,30-Aug-15,7
74738,Keppra,Seizures,"""I dont like using keppra at all. Since the start of using keppra, I keep on having suicidal thoughts everyday which I don&#039;t want to have. Keppra is making my life worse than ever. My mood is changing every minute. It has impacted my schoolwork so much. I have trouble remembering things and being happy. Sometimes I cry so hard  and say to myself &quot;I can&#039;t take this drug anymore&quot;. My self esteem is getting very low everyday. This drug is destroying my relationship with my friends and family. I just want to be able to tell them and my school what my feelings are and not pretend to put a mask of happiness over my face.""",1,11-Nov-17,3
112082,Gabapentin,Migraine,"""I haven&#039;t been taking this medication for long but it&#039;s helped so much. Neuro started me off on 300mg at night and now I&#039;m at 600mg at night. It doesn&#039;t make me sleepy or drowsy. Before starting gabapentin, I was having migraines just about every day. I started having aphasia and vision changes with my migraines, so I decided to take action. I&#039;ve only been on it for almost 2 weeks but I&#039;ve been migraine free and my triggers are no longer triggers at this point, which is fantastic.
I should note it has reduced my appetite but this is not a negative thing.""",10,25-Jul-17,16
67842,Plan B,Emergency Contraception,"""I did &#039;&#039;it&#039;&#039; on september 12,2016 &amp; on september 17 I recieved brown spotting slightly pickish I thought it was implantation &quot;period&quot; I started to freak out really bad but SO HAPPY IT IS NOT. I NOW HAVE MY HEAVY PERIOD with fatigue the pill works! Just take it as soon as it happens or within the 24 hour range best.drink warm teas for the cramping! Or hot baths. Love you all! Be careful!""",10,18-Sep-16,11
58200,Acetaminophen / hydrocodone,Pain,"""Was very beneficial when taken with a muscle relaxer for extreme pain in neck and arm. I was also taking Naproxen.""",8,20-Oct-08,21
194430,Crestor,High Cholesterol,"""15 minutes after taking I would get severe leg cramps for hours. It made my good cholesterol bad it did not work for me.""",1,28-Dec-11,52
57981,Acetaminophen / hydrocodone,Back Pain,"""The best medicine for me. I have tried all of the pain medicines and this one works the best along with Soma.""",10,31-May-11,31
80527,Mobic,Inflammatory Conditions,"""Mobic - the miracle pill. I have had chronic pain in my right knee for the last 6 months or so, it was getting worse by the day. I have now been taking Mobic 15mg for two days and I have no pain at all. I have read that there can be some nasty side effects, but at the moment I really don&#039;t care. I can walk pain free again.""",10,11-Jan-14,219
107103,Implanon,Birth Control,"""I have been on the Implanon for almost two years, I&#039;m getting it replaced and putting in a new one sometime in January. I absolutely love it, I don&#039;t get my period for months at a time, my longest one was two months. When I do get it, it is the same I&#039;ve always bled in the beginning of it, and after the first week or so it&#039;s nothing but a light bleeding if hardly any at all. I would recommend it, but you also have to take into consideration that any birth control affects people differently depending on how your body reacts to it. I love it, and have gotten scared about pregnancy since I had my daughter in March of 2010, but that&#039;s only from not getting it for months at a time. I haven&#039;t gotten pregnant when I should have. I love it.""",9,28-Aug-12,2
82083,Liraglutide,Obesity,"""For the first time in my life I feel normal. Dec 2011 I has gastric sleeve surgery. (Due to pcos and being pre diabetic ) Going in I weighed 352. I lost nearly 100#s. Over the past few years I&#039;ve gained 70 back. I work on the road and had no willpower when it came to coworkers stopping for fast food. Saying no is easy now. I&#039;m unsure how much I&#039;ve lost as my scale is broke, but I&#039;m back in my &quot;skinny jeans&quot; (snug but I couldn&#039;t come close to clasping them prior to saxenda. I pretty much force every meal down, and actually have to count calories to ensure I&#039;m getting enough! My main side effect has been nausea. Eatting a few bites feeling like I ate a buffet.""",10,3-Jun-16,28
36051,Efinaconazole,"Onychomycosis, Toenail","""Using for one month working great on my big toenail .""",9,2-Sep-15,4
199717,Varenicline,Smoking Cessation,"""5 years ago I used chantix to quit smoking. I had tried everything over the years I smoked and chantix was the only thing that ever stopped me from smoking. It even helped my mood. I suffer from depression and the chantix helped my mood during the time I used it. I am grateful for this medication""",10,18-May-17,13
87913,Clindamycin,Bacterial Infection,"""I was prescribed cleocin (clindamycin) for an infected tooth.  I have never had this antibiotic before, called the pharmacist and was told to drink a lot of water because it has a tendency to cause diarrhea.  Well I stayed on it for five days while enduring terrible stomach cramps and uncontrollable diarrhea until I came to my senses.  I called the dentist and switched to augmentin which did the trick.  Now, ten days later, I&#039;m still recovering from the side effects of the cleocin.  I will never take this antibiotic again.  There are too many alternatives to endure these reactions, let alone the fact that this drug strips your body of probiotics that affect the colon and can cause serious, and yes, even fatal consequences.""",1,24-Feb-17,15
95202,Guanfacine,ADHD,"""My 9 year old son has been taking Intuniv for about a year now and has greatly improved his behavior, mood, impulse control and more. Both myself and his dad suffer from ADHD as well but need Adderall to manage. I was so happy to see a non-stimulant medicine work so well. The only problem we&#039;ve had is excessive weight gain (excess of 30 lbs in 1 year). To the point its very worrisome. Appointment is set to switch to something new.""",8,26-Dec-14,75
213570,Tioconazole,Vaginal Yeast Infection,"""So after reading all the comments, I now know its not just me:( 
Went and got the monistat 1, put it in about 1 today. Felt fine till about 30 minutes ago. Oh my!!!! My inside are on itchy fire. This is horrible. I&#039;m hoping at least it works for all this pain. I can say I will never use this AGAIN!!! What helps with some kind of relief ladies??? Help please""",1,12-Sep-17,0
67613,Plan B,Emergency Contraception,""" On May 18th this guy came completely inside of me and he wasn&#039;t wearing a condom/I wasn&#039;t on birth control. Around 5 hours later I took plan B. On May 22nd I got my &quot;period&quot; which I later learned was withdrawal bleeding but anyways it was really heavy for a few days and then got progressively lighter. I had spotting for about a week and a half after the heavy days which has never happened to me but I read the pill can make your cycle irregular so I didn&#039;t worry too much about it. Around 11 days after the &#039;act&#039; I took a test and it was negative. I waited a week and took another test (so 18 days after the &#039;act&#039;) and it was negative! Not pregnant!! Yay!!""",10,5-Jul-17,6
77194,Lorcaserin,Weight Loss,"""I started one week ago taking 2 per day as prescribed but forgot 2 days to take second dose at work, so last 4 days only taking 10mg in morning. Not hungry at all. Eating mostly Paleo diet, some cardio exercise, and have lost 6.9 pounds in last 1 week. I am very impressed! Slight headache, dizziness, &quot;high&quot; feeling first few days, but have gone away.""",10,11-Jul-14,67
71473,Levora,Birth Control,"""This is my first experience with birth control, and so far it has been a very positive one.  I have been on it for about 2 months.  Before I had breakouts all of the time, and only a few days after starting this, I noticed that my acne had close to disappeared. Also, I used to have some problems with facial hair. That also has disappeared. I have had no mood swings, weight gain, or decrease in sexual drive or wetness. My weight has actually been easier to maintain, and I have lost about 10 pounds. All in all, this has been a great pill for me.""",10,31-Jul-11,25
67453,Provera,Abnormal Uterine Bleeding,"""I was bleeding for 7 weeks lightly and then all of a sudden it came and I was passing large clots and a lot of blood. My doctor put me on Provera 10mg twice a day. I had a horrible headache and felt tired but my period did stop which is great. """,7,7-May-14,71
182008,Egrifta,Lipodystrophy,"""I had a problem with visceral fat as a side effect of my HIV meds. My doctors convinced me that Egrifta could reduce the density of my visceral fat and after using it for just over 7 months my affected area has had a softening and reduction of fat but I have had one unexpected and undesirable effect....my penis seem to be noticeably not as thick as it has been my entire life. While my husband says its no big deal it is to me! Has anyone else had this &quot;side effect&quot;?""",7,27-Oct-16,2
